"","agency_cd","site_no","Date","X_99133_00003","X_99133_00003_cd"
"1","USGS","03340870",2017-04-20,3.1,"A"
"2","USGS","03340870",2017-04-21,3.2,"A"
"3","USGS","03340870",2017-04-22,3.3,"A"
"4","USGS","03340870",2017-04-23,3.3,"A"
"5","USGS","03340870",2017-04-24,3.3,"A"
"6","USGS","03340870",2017-04-25,3.2,"A"
"7","USGS","03340870",2017-04-26,3.2,"A"
"8","USGS","03340870",2017-04-27,3.2,"A"
"9","USGS","03340870",2017-04-28,3.2,"A [4]"
"10","USGS","03340870",2017-04-29,3.2,"A"
"11","USGS","03340870",2017-04-30,3.2,"A"
"12","USGS","03340870",2017-05-01,3.2,"A"
"13","USGS","03340870",2017-05-02,3.3,"A"
"14","USGS","03340870",2017-05-03,3.3,"A"
"15","USGS","03340870",2017-05-04,3.4,"A"
"16","USGS","03340870",2017-05-05,3.5,"A"
"17","USGS","03340870",2017-05-06,3.4,"A"
"18","USGS","03340870",2017-05-07,3.4,"A"
"19","USGS","03340870",2017-05-08,3.4,"A"
"20","USGS","03340870",2017-05-09,3.4,"A [4]"
"21","USGS","03340870",2017-05-10,3.4,"A"
"22","USGS","03340870",2017-05-11,3.4,"A"
"23","USGS","03340870",2017-05-12,3.2,"A"
"24","USGS","03340870",2017-05-13,3.1,"A"
"25","USGS","03340870",2017-05-14,3,"A"
"26","USGS","03340870",2017-05-15,3.1,"A"
"27","USGS","03340870",2017-05-16,3.2,"A"
"28","USGS","03340870",2017-05-17,3.4,"A"
"29","USGS","03340870",2017-05-18,3.4,"A"
"30","USGS","03340870",2017-05-19,3.2,"A"
"31","USGS","03340870",2017-05-20,3.2,"A"
"32","USGS","03340870",2017-05-21,3.2,"A"
"33","USGS","03340870",2017-05-22,3.2,"A"
"34","USGS","03340870",2017-05-23,3.2,"A"
"35","USGS","03340870",2017-05-24,3.1,"A"
"36","USGS","03340870",2017-05-25,3.2,"A"
"37","USGS","03340870",2017-05-26,3.2,"A"
"38","USGS","03340870",2017-05-27,3.2,"A"
"39","USGS","03340870",2017-05-28,3.2,"A"
"40","USGS","03340870",2017-05-29,3.1,"A"
"41","USGS","03340870",2017-05-30,3.1,"A"
"42","USGS","03340870",2017-05-31,3.1,"A"
"43","USGS","03340870",2017-06-01,3.1,"A [4]"
"44","USGS","03340870",2017-06-02,2.9,"A"
"45","USGS","03340870",2017-06-03,2.8,"A [4]"
"46","USGS","03340870",2017-06-04,2.8,"A"
"47","USGS","03340870",2017-06-05,2.8,"A"
"48","USGS","03340870",2017-06-06,2.7,"A"
"49","USGS","03340870",2017-06-07,2.7,"A"
"50","USGS","03340870",2017-06-08,2.8,"A"
"51","USGS","03340870",2017-06-09,2.8,"A"
"52","USGS","03340870",2017-06-10,2.8,"A"
"53","USGS","03340870",2017-06-11,2.7,"A"
"54","USGS","03340870",2017-06-12,2.8,"A"
"55","USGS","03340870",2017-06-13,2.8,"A"
"56","USGS","03340870",2017-06-14,2.7,"A"
